Medals,Number,PIB.per.capita
2,72,210.109899384623
1,61,261.66661956418
3,76,374.786775401462
2,81,586.214404973525
2,79,1390.6249753766501
4,106,1947.27643012721
8,147,1578.92641703719
6,160,2300.3768435526504
3,182,2596.91987612034
15,221,5166.16374470632
12,198,3749.7532499616796
10,243,3637.4623892573295
16,268,8831.023116975659
17,248,12370.024200714899
19,462,8710.09668954121
